station_id,num_bikes_available,num_docks_available,is_installed,is_returning,is_renting,time,stationCode,mechanical_bike_available,electrical_bike_available,station_name,latitude,longitude,capacity,credit_card
599135701,15,29,True,True,True,2024-12-07 05:25:25,20143,14,1,Ramponeau - Belleville,48.871031137596,2.379056852114,44,True
102747146,13,10,True,True,True,2024-12-07 05:25:05,43002,2,11,Lagny - Victor Basch,48.84884147189881,2.426325418925233,26,True
2515403527,3,26,True,True,True,2024-12-07 05:25:18,16138,3,0,Saint-Cloud - Hippodrome,48.85772148887421,2.2549109905958176,30,
653132534,5,20,True,True,True,2024-12-07 05:25:03,21216,3,2,Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,25,
506455295,4,11,True,True,True,2024-12-07 05:26:22,15068,3,1,Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,16,
1057149522,14,8,True,True,True,2024-12-07 05:27:16,22207,4,10,Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,22,
653197324,11,12,True,True,True,2024-12-07 05:25:54,92002,7,4,Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,23,
42950839,7,11,True,True,True,2024-12-07 05:24:12,19027,1,6,Serrurier,48.880493403246,2.398064173758,18,
14813797734,8,20,True,True,True,2024-12-07 05:24:21,31028,4,4,Raspail Barbès,48.8529945,2.4247387,28,True
88230992,6,24,True,True,True,2024-12-07 05:26:30,17048,4,2,De Toqueville - Terrasse,48.882428,2.314002,30,True
499303158,11,17,True,True,True,2024-12-07 05:25:33,44017,2,9,Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,30,True
27415302,9,16,True,True,True,2024-12-07 05:27:12,16118,6,3,Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,26,
27414512,22,17,True,True,True,2024-12-07 05:23:43,2017,20,2,Caire - Dussoubs,48.86785342111862,2.349364310503006,40,
210580039,5,12,True,True,True,2024-12-07 05:22:13,9008,0,5,Tour d'Auvergne - Rodier,48.879161,2.343698,17,
49474389,2,20,True,True,True,2024-12-07 05:18:52,8103,1,1,Artois - Berri,48.87393521240818,2.3064258322119713,23,
128940135,4,17,True,True,True,2024-12-07 05:26:53,8048,3,1,Marceau - Chaillot,48.868834023334,2.2986030816809,21,
35149611,23,3,True,True,True,2024-12-07 05:25:42,14013,9,14,Liard - Amiral Mouchez,48.8214169,2.342167,28,True
1057296253,47,13,True,True,True,2024-12-07 05:27:26,13118,40,7,Regnault - Patay,48.82435782216384,2.377065159380436,63,
576188379,6,16,True,True,True,2024-12-07 05:24:27,15112,4,2,Vigée-Lebrun - Anselme Payen,48.838683941628375,2.3110422492027287,24,
2515085147,2,19,True,True,True,2024-12-07 05:20:40,13030,1,1,Italie - Tolbiac,48.82557229464416,2.3576171323657036,21,
129107656,4,19,True,True,True,2024-12-07 05:23:30,18111,1,3,Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,25,
210574471,13,1,True,True,True,2024-12-07 05:24:44,9002,7,6,Abbeville - Faubourg Poissonnière,48.879223,2.349147,14,True
1057228658,11,10,True,True,True,2024-12-07 05:26:54,48003,7,4,Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,22,
230873471,4,17,True,True,True,2024-12-07 05:27:26,16110,2,2,Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,21,
129164969,30,20,True,True,True,2024-12-07 05:27:40,43009,18,12,Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,50,True
129004826,10,4,True,True,True,2024-12-07 05:27:31,9001,8,2,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,17,True
518825709,0,21,True,True,True,2024-12-07 05:23:05,17032,0,0,Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,21,
128930462,5,23,True,True,True,2024-12-07 05:27:53,8016,1,4,Square Louis XVI,48.87320440102894,2.323658830743138,29,True
